id,name,remark,description
303,Stalk Dung Pie,"Turns enemy toxic, but also affects user","Dried fecal waste material,
marked by a long plant stalk that was not properly digested.

Throw behind at enemies to inflict toxin build-up,
but also ups your own toxicity.

Strictly speaking,
this consists of different material than the dung pie,
but waste is waste, no sense in splitting hairs."
304,Duel Charm,Temporarily disables special effects in vicinity,"Tool used in duels of judgment.
Nulls effects of special area effects for a short time.

Allfather Lloyd's knights lived
in fear of his duels of judgment,
in which verdicts were carried out by his Sword of Law."
310,Throwing Knife,Throw at foes to inflict damage,"Small throwing knife. Throw at enemies to inflict damage.

Most items choose their wielder,
and only experience can improve their effectiveness.
True strength can be gained in no other way."
311,Poison Throwing Knife,Throw at foes to inflict damage and poison,"A throwing knife dipped in poison.
Throw at enemies to inflict poison damage.

Used by assassins of Londor, land of Hollows.
The poison is jokingly known as Hollow's blood."
330,Charcoal Pine Resin,Applies fire to right-hand weapon,"Black charcoal-like pine resin.
Temporarily applies fire to right-hand weapon.

Used in the Undead Settlement to preserve 
Undead bodies after dissection, and to bury them."
331,Gold Pine Resin,Applies lightning to right-hand weapon,"Rare pine resin which emits golden sparks.
Chunks of it are even rarer.

Temporarily applies lightning to right-hand weapon.

Its origins are unknown,
although some have speculated that
it may in fact be a type of fungal resin."
334,Human Pine Resin,Applies dark to right-hand weapon,"Charcoal pine resin rotted with human body fluids.

Temporarily applies dark to right-hand weapon.

Normally used in the Undead Settlement
for preservation and burials,
but can mature into this state,
becoming a valuable substance,
used in a certain ceremony.
Often seen for trade at exorbitant prices."
335,Carthus Rouge,Adds lacerating effect to right-hand weapon,"Highly viscous scarlet plant secretions.

Temporarily applies bleeding effect to right-hand weapon.

Associated with the warriors of Carthus,
whose blades take on the scarlet hues
of both this sanguine substance and
the spatters of their victims' blood."
336,Pale Pine Resin,Applies magic to right-hand weapon,"Pale pine resin that faintly glimmers.

Temporarily applies magic to right-hand weapon.

The blood red substance sometimes found
within suggests there is more to this
so-called resin than meets the eye."
340,Charcoal Pine Bundle,Applies fire to right-hand weapon,"A small bundle of charcoal pine resin.

Quickly applies fire to right-hand weapon.

Does not last for long,
but can be used in inventive ways,
such as applying it in the middle of a series of blows."
341,Gold Pine Bundle,Applies lightning to right-hand weapon,"Rare pine resin which emits golden sparks.
Collected in a small bundle.

Quickly applies lightning to right-hand weapon.

Does not last for long,
but can be used in inventive ways,
such as applying it in the middle of a series of blows."
343,Rotten Pine Resin,Adds poison to right-hand weapon,"Pine resin that has rotted and turned poisonous.
Likely rotten from the start.

Temporarily applies poison to right-hand weapon.

Farron Keep was swallowed by the rotted wood,
where the blunt-horned Ghrus concoct this resin."
350,Homeward Bone,"Return to last bonfire rested at, or to shrine","Bone fragment reduced to white ash.
Return to last bonfire used for resting,
or to the shrine bonfire.

Bonfires are sustained by bones of the Undead.
In rare cases,
their previous owner's strong urge to
seek bonfires enchants their bones
with a homeward instinct."
351,Coiled Sword Fragment,"Return to last bonfire rested at, or to shrine","Fragment of the coiled sword of a bonfire
which served its purpose long ago.

Returns caster to last bonfire used for resting,
or to the bonfire in Firelink Shrine.
Can be used repeatedly.

Bonfires are linked to one another irreversibly,
retaining their affinity long
after their purpose is exhausted."
366,Wolf's Blood Swordgrass,Proves a Watchdog of Farron has met their duty,"A leaf signifying a duty fulfilled
by the Watchdogs of Farron,
who stand beside the old wolf to ensure
the serenity of those at rest.
Depicts a swordgrass leaf stained with dried blood.

Long ago, the swordgrass leaf quietly identified
members of the Undead Legion.
In the rotted forest rest the spirits of warriors past,
their acceptance of and gratitude
toward their guardians is expressed eloquently
by the humble leaf."
367,Human Dregs,Proves an Aldrich Faithful has met their duty,"Proof of a duty fulfilled by the Aldrich Faithful,
who patiently await the Devourer of Gods' return.

Dregs are the heaviest things within the human body,
and will sink to the lowest depths imaginable,
where they become the shackles that bind this world."
368,Forked Pale Tongue,Proves a blue spirit has been fended off,"Proof that a red eye orb invader
successfully fended off a blue spirit.

Those who hunt dark spirits take the names
of gods in ancient accord with the Way of Blue,
a deception exemplified by their forked tongues.

Use to acquire two Pale Tongues."
369,Proof of a Concord Well Kept,Proof a dark spirit was felled by a Blue Sentinel,"Distinguished proof that one has
hunted the enemies of the gods,
as per the ancient accord with the Way of Blue.

The layered ear of a dark spirit is the mark of
a particularly guilty offender,
one who has flagrantly violated one god or another.

Use to acquire two Proofs of a Concord Kept."
370,Prism Stone,Mark path by placing on ground,"Warm pebble emitting a beautiful
phasing aura of seven colors,
with a very rare eighth.

The prism stone does nothing special,
but can serve as a path marker,
or perhaps dropped off a cliff to judge height
by the sound of its descent.
If a loud noise is heard upon its landing,
then a fall from the ledge is surely lethal."
371,Binoculars,Use to peer at distant scenery,"Binoculars made of brass.
Use to peer at distant scenery.

Their utility is singular, but applications many.
The value of these specs depends greatly
on the imagination of their owner."
372,Proof of a Concord Kept,Proof a dark spirit was felled by a Blue Sentinel,"Blood-drained, shrunken ear.
Souvenir taken for subduing the guilty.

The knights called the Blades of the Darkmoon
punish the guilt-soaked offenders of the Gods
and take this as proof of their conquest.
The earless corpses of the guilty will be
left behind as a warning to others,
inspiring both fear and respect for the Gods.
Such is the eternal mandate of the Dark Sun."
373,Pale Tongue,Proof of invader's victory over a Host of Embers,"Proof of a red orb invader's victory
over a Host of Embers.

Claiming tongues as trophies was originally
the practice of an infamous troupe of invaders,
who offered them to their speechless goddess."
374,Vertebra Shackle,Special bone found by killing in other worlds,"A special bone collected by members
of the covenant of Mound-makers,
discovered in the corpses of their victims.

Only one such bone is found in the vertebrae,
and the Mound-makers believe it to
be a shackle of the gods.
In their minds, each victim is another connection,
an addition to the family."
375,Sunlight Medal,Medal received for victory in co-op,"A medal received by members of
the Warrior of Sunlight covenant for victory
over the final foe when summoned.
The summoner also gains the same medal.

The medal, engraved with the holy symbol of the sun,
is slightly warm, and reminds one of the great honor
of a shared victory."
377,Dragon Head Stone,Gain dragon head and emit dragon breath,"Stone imbued with the power of the everlasting dragons,
used in a secret rite by dragon worshippers.

Gain the head of a dragon and emit dragon breath,
a transformation that is irreversible until death.

Those who choose the path of the dragon
strive for perfect imitation,
and the dragon head rite is the first step
in this grand process."
378,Dragon Torso Stone,Gain dragon torso and roar like a dragon,"Stone imbued with the power of the everlasting dragons,
used in a secret rite by dragon worshippers.

Gain the torso of a dragon and a dragon's roar,
a transformation that is irreversible until death.

From ancient times,
the path of dragon worship was walked by warriors.
It is said they envision Archdragon Peak in the depths
of their meditation, and at times,
they even hear the distant sound
of the great bell at the peak."
380,Rubbish,"Rubbish of no value, and certainly no avail","Rubbish with no value.

Who in their right mind would
bother carrying this around?
Perhaps you need help."
385,Dried Finger,Should only be used with the greatest of caution,"Online play item.
Dried finger with multiple knuckles.

Use to strengthen connection to other worlds,
allowing the summoning of a third phantom,
but also a second dark spirit.

Also makes the summoning of a dark spirit occur earlier.
Use with caution."
387,Twinkling Dragon Head Stone,Gain dragon head and breathe until death,"Stone imbued with the power of the everlasting dragons,
the second of its kind, offered to a towering dragon.

Gain the head of a dragon and emit breath
alongside an archdragon mirage.
The transformation is irreversible until death.

The illusion achieved was the first case of
a human imitating the form of an ancient dragon,
and it revealed the smallness of human existence.
The road to the old dragons is long and arduous,
and only one can complete the journey."
388,Twinkling Dragon Torso Stone,Gain dragon torso and roar until death,"Stone imbued with the power of the everlasting dragons,
offered to a towering dragon.
This stone shows signs of a nascent light.

Gain the torso of a dragon and roar
alongside an archdragon mirage.
The transformation is irreversible until death.

Yet true imitation will require a dragon head, as well."
390,Fire Keeper Soul,Soul of a Fire Keeper who returned from the Abyss,"Soul of a Fire Keeper who is said to
have returned from the Abyss.

This Fire Keeper preserves the bonfire,
and serves its champion.
She is said to have soothed and accepted the dark sigil,
which has tainted her soul.

And yet, her soul will one day embed itself
in the bosom of another Fire Keeper."
400,Fading Soul,Use to acquire a smidgen of souls,"The fading soul of a corpse.

Use to gain a smattering of souls.

Let the Fire Keeper transform this sovereignless soul
into a source of strength,
for to be Unkindled is to be a vessel for souls."
401,Soul of a Deserted Corpse,Use to acquire souls,"Soul found in a deserted corpse.

Use to acquire souls.

Let the Fire Keeper transform this sovereignless soul
into a source of strength,
for to be Unkindled is to be a vessel for souls."
402,Large Soul of a Deserted Corpse,Use to acquire souls,"Large soul found in a deserted corpse.

Use to acquire souls.

Let the Fire Keeper transform this sovereignless soul
into a source of strength,
for to be Unkindled is to be a vessel for souls."
403,Soul of an Unknown Traveler,Use to acquire souls,"Soul found in the corpse of an unknown traveler.

Use to acquire souls.

Let the Fire Keeper transform this sovereignless soul
into a source of strength,
for to be Unkindled is to be a vessel for souls."
404,Large Soul of an Unknown Traveler,Use to acquire souls,"A large soul found in the corpse of an unknown traveler.

Use to acquire souls.

Let the Fire Keeper transform this sovereignless soul
into a source of strength,
for to be Unkindled is to be a vessel for souls."
405,Soul of a Nameless Soldier,Use to acquire souls,"Soul found in the corpse of a nameless soldier.

Use to acquire souls.

Let the Fire Keeper transform this sovereignless soul
into a source of strength,
for to be Unkindled is to be a vessel for souls."
406,Large Soul of a Nameless Soldier,Use to acquire souls,"Large soul found in the corpse of a nameless soldier.

Use to acquire souls.

Let the Fire Keeper transform this sovereignless soul
into a source of strength,
for to be Unkindled is to be a vessel for souls."
407,Soul of a Weary Warrior,Use to acquire many souls,"Soul found in the corpse of a battle-weary warrior.

Use to acquire a large amount of souls.

Let the Fire Keeper transform this sovereignless soul
into a source of strength,
for to be Unkindled is to be a vessel for souls."
408,Large Soul of a Weary Warrior,Use to acquire many souls,"Large soul found in the corpse of a battle-weary warrior.

Use to acquire a large amount of souls.

Let the Fire Keeper transform this sovereignless soul
into a source of strength,
for to be Unkindled is to be a vessel for souls."
409,Soul of a Crestfallen Knight,Use to acquire many souls,"Soul found in the corpse of a crestfallen knight.

Use to acquire a large amount of souls.

Let the Fire Keeper transform this sovereignless soul
into a source of strength,
for to be Unkindled is to be a vessel for souls."
410,Large Soul of a Crestfallen Knight,Use to acquire many souls,"Large soul found in the corpse of a crestfallen knight.

Use to acquire a large amount of souls.

Let the Fire Keeper transform this sovereignless soul
into a source of strength,
for to be Unkindled is to be a vessel for souls."
411,Soul of a Proud Paladin,Use to acquire many souls,"Soul found in the corpse of a proud paladin.

Use to acquire many souls.

Let the Fire Keeper transform this sovereignless soul
into a source of strength,
for to be Unkindled is to be a vessel for souls."
412,Large Soul of a Proud Paladin,Use to acquire many souls,"Large soul found in the corpse of a proud paladin.

Use to acquire many souls.

Let the Fire Keeper transform this sovereignless soul
into a source of strength,
for to be Unkindled is to be a vessel for souls."
413,Soul of an Intrepid Hero,Use to acquire numerous souls,"Soul found in the corpse of an intrepid hero.

Use to acquire a great helping of souls.

Let the Fire Keeper transform this sovereignless soul
into a source of strength,
for to be Unkindled is to be a vessel for souls."
414,Large Soul of an Intrepid Hero,Use to acquire numerous souls,"Large soul found in the corpse of an intrepid hero.

Use to acquire a great helping of souls.

Let the Fire Keeper transform this sovereignless soul
into a source of strength,
for to be Unkindled is to be a vessel for souls."
415,Soul of a Seasoned Warrior,Use to acquire numerous souls,"Soul found in the corpse of a seasoned warrior.

Use to acquire a great helping of souls.

Let the Fire Keeper transform this sovereignless soul
into a source of strength,
for to be Unkindled is to be a vessel for souls."
416,Large Soul of a Seasoned Warrior,Use to acquire numerous souls,"Large soul found in the corpse of a seasoned warrior.

Use to acquire a great helping of souls.

Let the Fire Keeper transform this sovereignless soul
into a source of strength,
for to be Unkindled is to be a vessel for souls."
417,Soul of an Old Hand,Use to acquire innumerable souls,"Soul found in the corpse of an old hand at war.

Use to acquire innumerable souls.

Let the Fire Keeper transform this sovereignless soul
into a source of strength,
for to be Unkindled is to be a vessel for souls."
418,Soul of a Venerable Old Hand,Use to acquire innumerable souls,"Large soul found in the corpse of an old hand at war.

Use to acquire innumerable souls.

Let the Fire Keeper transform this sovereignless soul
into a source of strength,
for to be Unkindled is to be a vessel for souls."
419,Soul of a Champion,Use to acquire enough souls to sate a lord,"Soul found in the corpse of a champion of legend.

Use to acquire enough souls to sate a lord.

Let the Fire Keeper transform this sovereignless soul
into a source of strength,
for to be Unkindled is to be a vessel for souls."
420,Soul of a Great Champion,Use to acquire enough souls to sate a lord,"Large soul found in the corpse of a champion of legend.

Use to acquire enough souls to sate a lord.

Let the Fire Keeper transform this sovereignless soul
into a source of strength,
for to be Unkindled is to be a vessel for souls."
440,Seed of a Giant Tree,Enemies react to invaders,"Makes enemies react to invaders.

The giant trees were also known as watcher trees,
and their seeds unmask invaders.

When used effectively,
these seeds will help counter dark spirits."
452,Mossfruit,Temporarily boosts all resistances,"A small clump of mossfruit.

Temporarily boosts bleed, poison, frost, and curse resistance.

All mossfruit is the same regardless of its color,
and has the effects of moss of all colors."
454,Young White Branch,"Transform, blending into environment","A young white branch.

Use to transform into something
which blends into the surroundings.

Little Dusk's first sorcerer's staff
eventually became a seedling,
and then three white birch saplings.
The young branch is said to still contain echoes
of little Dusk's capriciousness."
455,Rusted Coin,Crush to temporarily boost item discovery,"An old rusted copper coin.

Crushing the coin boosts item discovery.

Those who have lost their fortunes rely
upon this superstitious practice,
hoping to retrieve what was once theirs, and more."
456,Siegbräu,Restores HP and boosts frost resist,"Special brew of Siegward of Catarina.
Perfect for travel in its jolly barrel mug.

Restores HP and temporarily boosts frost resistance.

Leave it to Siegward to discover a drink
that even an Undead can enjoy.
Perhaps his long years spent Undead have left him
wanting to drain a cup or two and revel as if
he were still among the living."
457,Rusted Gold Coin,Crush to temporarily greatly boost item discovery,"A rusty old gold coin that surely has no currency.

Crushing the coin gives a large, if temporary,
boost to item discovery.

A rich man lost his fortune,
but it returned to him twofold.
He was swift to squander his retrieved fortune,
smugly confident that it was bound to double once again."
458,Blue Bug Pellet,Temporarily boosts magic damage absorption,"Medicinal pellet made from crushed insects.
The blue type temporarily boosts magic damage absorption.

The Boreal Valley is infested with moon bugs,
meaning ingredients are never far from hand
for the Irithyllian slaves who concoct this medicine."
459,Red Bug Pellet,Temporarily boosts fire damage absorption,"Medicinal pellet made from crushed insects.
The red type temporarily boosts fire damage absorption.

Prepared in the Cathedral of the Deep by evangelists,
who dole them out to followers to
ease their suffering when they burn."
460,Yellow Bug Pellet,Temporarily boosts lightning damage absorption,"Medicinal pellet made from crushed insects.
The yellow type temporarily boosts
lightning damage absorption.

The grave wardens of Carthus used these
to repel a great sand worm.

The worm tumbled into the catacombs,
and proceeded to dominate its new home
in the Smoldering Lake."
461,Black Bug Pellet,Temporarily boosts dark damage absorption,"Medicinal pellet made from crushed insects.
The black type temporarily boosts Dark damage absorption.

At all times, the Abyss Watchers of the Undead Legion
keep a supply of these concoctions,
prepared by the acolytes.
Rumor has it their Ghru descendants
still make these concoctions."
462,Young White Branch,"Transform, blending into environment","Branch of a white birch received from a giant,
apparently as a token of friendship.

Become something that blends in to the surroundings.
Consumed with use.

""Good friend, no hit."""
463,Young White Branch,"Transform, blending into environment","Branch of a white birch received from somebody.
Apparently, this was once a token of friendship.

Use to become something that blends into the surroundings,
though the branch will unfortunately be consumed.

Perhaps treasuring the memory is more important."
490,Dark Sigil,Accumulates curse,"A black, gaping hole in the flesh that
resembles the brand of an Undead.

The darkness of humanity seeps from
this bottomless pitch-black hole,
the gap filled by the accumulation of the curse.

This Dark Sigil will never heal,
but there is a tale told of a Fire Keeper
who returned from the Abyss,
and brought great comfort to a bearer of the curse."
500,Ember,"Gain strength of flame, boosting HP until death.","No Unkindled can ever truly claim the embers
that burn within a champion's bosom,
which is precisely what makes their
yearning for warmth so keen.

Gain the strength of flame
and increased max HP until death.

With the strength of fire,
the summoning signs of Unkindled become visible,
and seekers of embers can be summoned
to join in co-operation.
But beware, the embers may also attract invaders."
520,Hello Carving,"Smash on ground to say ""Hello""","A strange head of unknown origin carved from archtree.
It speaks when thrown on the ground.

This head says ""Hello"". Have another look.
Do you sense the amicability in its eyes?"
521,Thank you Carving,"Smash on ground to say ""Thank you""","A strange head of unknown origin carved from archtree.
It speaks when thrown on the ground.

This head says ""Thank you"". Have another
look. Is this not a face of gratitude?"
522,Very good! Carving,"Smash on ground to say ""Very good!""","A strange head of unknown origin carved from archtree.
It speaks when thrown on the ground.

This head says ""Very good!"" Have another
look. Does it not appear rather jovial?"
523,I'm sorry Carving,"Smash on ground to say ""I'm sorry""","A strange head of unknown origin carved from archtree.
It speaks when thrown on the ground.

This head says ""I'm sorry"". Have another look.
Isn't it quite the expression of atonement?"
524,Help me! Carving,"Smash on ground to say ""Help me!""","A strange head of unknown origin carved from archtree.
It speaks when thrown on the ground.

This head says ""Help me!"" Look again.
Can you hear the desperation of its plea?"
712,Soul of Champion Gundyr,"One of the twisted souls, steeped in strength","Soul of the champion Gundyr.
One of the twisted souls, steeped in strength.

Use to acquire many souls,
or transpose to extract its true strength.

Once, a champion came late to the festivities,
and was greeted by a shrine without fire,
and a bell that would not toll."
714,Soul of the Dancer,"One of the twisted souls, steeped in strength","Soul of the dancer.
One of the twisted souls, steeped in strength.

Use to acquire many souls,
or transpose to extract its true strength.

The Pontiff Sulyvahn bestowed a double-slashing
sword upon a distant daughter of the formal royal family,
ordering her to serve first as a dancer,
and then as an outrider knight,
the equivalent to exile."
715,Soul of a Crystal Sage,"One of the twisted souls, steeped in strength","Soul of a Crystal Sage.
One of the twisted souls, steeped in strength.

Use to acquire many souls,
or transpose to extract its true strength.

The twin Crystal Sages once served as
spiritual guides to the scholars of the Grand Archives,
and one went on to ally with the Undead Legion."
717,Soul of the Blood of the Wolf,"One of the twisted souls, steeped in strength","Soul of the Blood of the Wolf.
One of the twisted souls, steeped in strength.

Use to acquire numerous souls,
or transpose to extract its true strength.

The blood was spread amongst the Abyss Watchers,
and their souls are one with
the soul of the wolf blood master."
718,Soul of Consumed Oceiros,"One of the twisted souls, steeped in strength","Soul of Oceiros, the Consumed King.
One of the twisted souls, steeped in strength.

Use to acquire numerous souls,
or transpose to extract its true strength.

Oceiros went mad trying to harness his
royal blood for a greater purpose,
leading him to the heretics of the Grand Archives,
where he discovered the twisted worship
of Seath the paledrake."
719,Soul of Boreal Valley Vordt,"One of the twisted souls, steeped in strength","Soul of Vordt of the Boreal Valley.
One of the twisted souls, steeped in strength.

Use to acquire many souls,
or transpose to extract its true strength.

Vordt served as an outrider knight,
never far from the fleeting dancer."
720,Soul of the Old Demon King,"One of the twisted souls, steeped in strength","Soul of the Old Demon King.
One of the twisted souls, steeped in strength.

Use to acquire many souls,
or transpose to extract its true strength.

The shriveled Old Demon King
is now like a clump of burnt ash,
but he is the last living witness
of the Chaos of Izalith."
721,Soul of Dragonslayer Armour,"One of the twisted souls, steeped in strength","Soul of the Dragonslayer Armour.
One of the twisted souls, steeped in strength.

Use to acquire many souls,
or transpose to extract its true strength.

The Dragonslayer Armour,
controlled by the Pilgrim Butterfly,
lost its master long ago,
but still remembers their sporting hunts."
722,Soul of the Nameless King,"One of the twisted souls, steeped in strength","Soul of the Nameless King.
One of the twisted souls, steeped in strength.

Use to acquire many souls,
or transpose to extract its true strength.

The Nameless King was once
a dragon-slaying god of war,
before he sacrificed everything to
ally himself with the ancient dragons."
724,Soul of Pontiff Sulyvahn,"One of the twisted souls, steeped in strength","Soul of Pontiff Sulyvahn.
One of the twisted souls, steeped in strength.

Use to acquire many souls,
or transpose to extract its true strength.

Pontiff Sulyvahn of Irithyll imprisoned a god
of the old royalty in the abandoned cathedral,
to be fed to the devourer. "
725,Soul of Aldrich,"One of the twisted souls, steeped in strength","Soul of Aldrich.
One of the twisted souls, steeped in strength.

Use to acquire many souls,
or transpose to extract its true strength.

When Aldrich ruminated on the fading of the fire,
it inspired visions of a coming age of the deep sea.
He knew the path would be arduous,
but he had no fear.
He would devour the gods himself."
726,Soul of High Lord Wolnir,"One of the twisted souls, steeped in strength","Soul of the High Lord Wolnir.
One of the twisted souls, steeped in strength.

Use to acquire many souls,
or transpose to extract its true strength.

Lord Wolnir of Carthus sentenced
countless souls to gruesome deaths,
keen to outlive them all."
727,Soul of the Rotted Greatwood,"One of the twisted souls, steeped in strength","Soul of the Curse-rotted Greatwood.
One of the twisted souls, steeped in strength.

Use to acquire many souls,
or transpose to extract its true strength.

Ever since its establishment,
all manner of curses have managed to
seep into the Undead Settlement.
The worst of them were sealed away
inside a spirit tree,
but eventually the curses took their toll."
